elapsed_s,rss_total_mib,cpu_percent_sum,n_processes
0.01,35.43,0.00,1
1.05,204.43,0.00,2
2.10,931.94,44.80,6
3.14,1566.09,399.60,6
4.19,1586.58,397.80,6
5.24,1608.75,399.80,6
6.29,1527.07,395.50,6
7.34,1606.84,399.50,6
8.39,1604.62,397.10,6
9.43,1558.66,398.80,6
10.48,1539.93,397.80,6
11.53,1600.95,396.90,6
12.58,1593.63,398.20,6
13.63,1595.23,397.40,6
14.68,1631.06,397.80,6
15.73,1582.95,398.70,6
16.77,1605.27,397.80,6
17.82,1631.05,398.60,6
18.87,1665.84,397.80,6
19.92,1605.54,397.80,6
20.97,1593.62,398.80,6
22.01,1609.02,397.80,6
23.06,1618.69,397.80,6
24.11,1599.73,397.80,6
25.16,1540.57,399.50,6
26.21,1596.01,398.40,6
27.26,1569.59,398.40,6
28.31,1615.57,397.80,6
29.35,1563.51,396.90,6
30.40,1589.66,400.80,6
31.45,1624.78,397.80,6
32.50,1571.65,396.80,6
33.55,1581.25,386.30,6
34.59,1594.14,270.70,6
35.64,948.15,1.00,6
36.69,1248.51,396.70,6
37.74,1220.59,397.80,6
38.79,1218.58,396.70,6
39.84,1251.90,397.10,6
40.89,1330.09,396.20,6
41.94,1334.17,387.50,6
42.99,1303.61,354.80,6
44.04,335.14,105.10,2
45.09,352.09,99.40,2
46.13,352.09,100.40,2
47.18,352.09,99.40,2
48.22,352.10,115.70,2
49.27,352.47,245.70,2
50.32,352.49,349.90,2
51.36,1465.90,81.10,6
52.41,1599.41,398.10,6
53.46,1622.59,397.00,6
54.51,1679.78,398.80,6
55.55,1469.33,1.90,6
56.60,1474.46,398.90,6
57.65,1645.68,398.80,6
58.71,1439.57,396.00,6
59.76,1534.79,397.80,6
60.81,1469.46,399.10,6
61.86,1522.00,397.80,6
62.91,1519.53,396.70,6
63.96,1480.41,198.40,6
65.01,1438.57,99.20,6
66.06,1477.01,13.40,6
67.10,1515.90,398.70,6
68.15,1605.79,397.80,6
69.20,1544.32,399.20,6
70.25,352.41,8.60,2
